source,target
ARF5,RAB11FIP3
RAB11FIP3,RAB11FIP5
RAB11FIP3,RAB11A
RAB11FIP3,ARF6
RAB11FIP3,RAB11FIP2
RAB11FIP3,ASAP1
RAB11FIP3,RAB11FIP1
M6PR,GGA3
M6PR,GGA2
M6PR,GGA1
M6PR,IGF2R
GGA3,RPS27A
GGA3,ARF6
GGA3,GGA2
GGA3,BACE1
GGA3,IGF2R
GGA3,GGA1
GGA3,UBA52
GGA3,ARF1
GGA3,RABEP1
GGA3,UBB
GGA2,SORT1
GGA2,SORL1
GGA2,RABEP1
GGA2,IGF2R
GGA2,GGA1
GGA2,CLTC
GGA2,CLINT1
GGA1,SORT1
GGA1,SORL1
GGA1,BACE1
GGA1,IGF2R
GGA1,CCDC91
GGA1,CLTC
GGA1,RABEP1
GGA1,ARF1
IGF2R,PLIN3
IGF2R,SLC22A3
IGF2R,SNX5
IGF2R,IGF1
IGF2R,DPP4
FKBP4,STIP1
FKBP4,NR3C2
FKBP4,FKBP5
FKBP4,HSPA8
FKBP4,GLMN
FKBP4,MTOR
FKBP4,AKT1
FKBP4,PTGES3
FKBP4,DNAJB1
FKBP4,PPID
FKBP4,HSP90AB1
FKBP4,HSPA4
FKBP4,NR3C1
FKBP4,HSP90AA1
FKBP4,AHSA1
FKBP4,PHLPP1
FKBP4,AR
STIP1,PPP5C
STIP1,AHSA1
STIP1,CDC37
STIP1,NR3C1
STIP1,TRAP1
STIP1,DNAJB1
STIP1,CCT7
STIP1,CCT6A
STIP1,CCT5
STIP1,CCT8
STIP1,CCT3
STIP1,TSC1
STIP1,CCT2
STIP1,HSPA4
STIP1,PPID
STIP1,TCP1
STIP1,PSMG2
STIP1,CCT6B
STIP1,PSMG1
STIP1,HSP90AA1
STIP1,HSPH1
STIP1,FKBP5
STIP1,PRNP
STIP1,CCT4
STIP1,PTGES3
STIP1,HSPA1L
STIP1,HSPA8
STIP1,CDC37L1
STIP1,HSP90AB1
STIP1,DNAJC9
STIP1,DNAJA1
STIP1,HSPA1A
NR3C2,NR3C1
NR3C2,HSD11B2
NR3C2,AGT
NR3C2,NCOA1
FKBP5,NR3C1
FKBP5,DNAJB1
FKBP5,PHLPP1
FKBP5,HSPA4
FKBP5,HSP90AA1
FKBP5,MTOR
FKBP5,SGK1
FKBP5,CHUK
FKBP5,HSP90AB1
FKBP5,AR
FKBP5,AKT1
FKBP5,PTGES3
HSPA8,ST13
HSPA8,AHSA1
HSPA8,STUB1
HSPA8,SGTA
HSPA8,PLIN3
HSPA8,CDC37
HSPA8,CCND1
HSPA8,PRPF19
HSPA8,HSPB1
HSPA8,TSG101
HSPA8,DNAJB1
HSPA8,SNAP25
HSPA8,HSPBP1
HSPA8,CHL1
HSPA8,CCT7
HSPA8,TLR2
HSPA8,DNAJB6
HSPA8,DNAJA3
HSPA8,GRPEL1
HSPA8,TP53
HSPA8,EGFR
HSPA8,PLIN2
HSPA8,CCT5
HSPA8,HSPB8
HSPA8,UCHL1
HSPA8,CCT8
HSPA8,BAG4
HSPA8,HSPA4L
HSPA8,HSPA9
HSPA8,CCT2
HSPA8,HSPA4
HSPA8,HSPB3
HSPA8,PABPC1
HSPA8,HNRNPD
HSPA8,DNAJA2
HSPA8,GAK
HSPA8,TCP1
HSPA8,HSPA5
HSPA8,HSP90AA1
HSPA8,DNAJB2
HSPA8,BAG5
HSPA8,EEF1A1
HSPA8,HSPD1
HSPA8,MAPT
HSPA8,DNAJB12
HSPA8,HTT
HSPA8,VCP
HSPA8,CTNNBL1
HSPA8,PRKN
HSPA8,BAG3
HSPA8,BCAS2
HSPA8,BAG2
HSPA8,DNAJB4
HSPA8,DNAJC6
HSPA8,CDC5L
HSPA8,HSP90AB1
HSPA8,HSPA1A
HSPA8,DNAJC2
HSPA8,DNAJA1
HSPA8,TFRC
HSPA8,CCT4
HSPA8,MAPK8
HSPA8,GAPDH
HSPA8,MAPK9
HSPA8,DNAJB5
HSPA8,DNAJB14
HSPA8,ESR1
HSPA8,DNAJC7
HSPA8,LAMP2
HSPA8,EIF4G1
HSPA8,HSF1
HSPA8,SNCA
HSPA8,ACTB
HSPA8,BAG1
HSPA8,PTGES3
HSPA8,HSPH1
GLMN,RBX1
GLMN,SKP1
GLMN,CUL1
GLMN,NLRP3
GLMN,FKBP1A
GLMN,CUL7
MTOR,RB1CC1
MTOR,SIRT1
MTOR,FKBP3
MTOR,TSC2
MTOR,RPS6KB1
MTOR,PRKAB2
MTOR,LAMTOR5
MTOR,LPIN2
MTOR,RHEB
MTOR,TELO2
MTOR,PIK3R3
MTOR,RRAGB
MTOR,PRKCG
MTOR,PIK3CA
MTOR,TUBB4A
MTOR,STAT3
MTOR,MAPKAP1
MTOR,DEPTOR
MTOR,PPARG
MTOR,PRKAG2
MTOR,TSC1
MTOR,DDB1
MTOR,IRS1
MTOR,RPS6KB2
MTOR,PSMC5
MTOR,PRKAG1
MTOR,ULK1
MTOR,LAMP1
MTOR,HSP90AA1
MTOR,TUBA1B
MTOR,ATG101
MTOR,TUBB
MTOR,EIF4EBP1
MTOR,PRKAA1
MTOR,TFEB
MTOR,ATG13
MTOR,PSMD14
MTOR,IRS2
MTOR,RRAGA
MTOR,PRKCA
MTOR,PIK3R1
MTOR,PSMC6
MTOR,PRR5L
MTOR,FKBP1A
MTOR,RRAGC
MTOR,EIF4EBP2
MTOR,AKT1
MTOR,PTEN
MTOR,SGK1
MTOR,RHOA
MTOR,LAMTOR2
MTOR,IGBP1
MTOR,LPIN1
MTOR,PRKAB1
MTOR,RRAGD
MTOR,CLIP1
MTOR,UBAP2L
MTOR,EIF4E
MTOR,SQSTM1
MTOR,TTI1
MTOR,FKBP8
MTOR,FBXW7
MTOR,HSP90AB1
MTOR,PIK3CB
MTOR,AKT3
MTOR,PRKAA2
MTOR,CHUK
MTOR,PIK3CD
MTOR,RPS6
MTOR,MLST8
MTOR,PRKCB
MTOR,GPHN
MTOR,LAMTOR3
MTOR,ULK2
MTOR,PRR5
AKT1,MAPK13
AKT1,MAPK1
AKT1,TSC2
AKT1,CDC37
AKT1,GSK3A
AKT1,WASL
AKT1,RPS6KB1
AKT1,CCND1
AKT1,CDKN1B
AKT1,MAPK14
AKT1,PI3
AKT1,HSPB1
AKT1,KRAS
AKT1,MDM2
AKT1,CYBA
AKT1,CDH1
AKT1,SMAD2
AKT1,RHEB
AKT1,AXIN1
AKT1,PHLPP1
AKT1,PIK3R3
AKT1,MAPK3
AKT1,MAP3K8
AKT1,EP300
AKT1,PIK3CA
AKT1,FGF2
AKT1,STAT3
AKT1,EGF
AKT1,MAPKAP1
AKT1,IQGAP1
AKT1,TP53
AKT1,RASA1
AKT1,GNRH1
AKT1,PAK1
AKT1,PDE3B
AKT1,APPL1
AKT1,NOS3
AKT1,TSC1
AKT1,HSP90B1
AKT1,HSPA4
AKT1,HSPB3
AKT1,IRS1
AKT1,ITPR1
AKT1,RPS6KB2
AKT1,TERT
AKT1,CASP3
AKT1,HSPA5
AKT1,PPP2R1A
AKT1,GSK3B
AKT1,CASP9
AKT1,SMAD3
AKT1,MAPK11
AKT1,HSP90AA1
AKT1,CAV1
AKT1,FOXO3
AKT1,EIF4EBP1
AKT1,SMAD4
AKT1,PDPK1
AKT1,MAP3K5
AKT1,STAT1
AKT1,BECN1
AKT1,PFKFB2
AKT1,MAPKAPK2
AKT1,RABIF
AKT1,NCF2
AKT1,VAV3
AKT1,CHUK
AKT1,JUN
AKT1,HSP90AB1
AKT1,PTEN
AKT1,SRC
AKT1,OGT
AKT1,FOXO4
AKT1,ITPR3
AKT1,BCL2L1
AKT1,WAS
AKT1,PIK3CD
AKT1,TBC1D4
AKT1,PRKCZ
AKT1,CYBB
AKT1,FOXO1
AKT1,NKX3-1
AKT1,GRB2
AKT1,IGF1
AKT1,BAD
AKT1,ILK
AKT1,GAPDH
AKT1,NFE2L2
AKT1,NCF4
AKT1,BCL2
AKT1,CDKN1A
AKT1,CREB1
AKT1,PIK3R5
AKT1,TNF
AKT1,RHOA
AKT1,RAF1
AKT1,ARRB2
AKT1,ESR1
AKT1,ARRB1
AKT1,MAP2K4
AKT1,TRIB3
AKT1,PPP2CA
AKT1,BRCA1
AKT1,PIK3CG
AKT1,PIK3R1
AKT1,IKBKB
AKT1,TRAF6
AKT1,HIF1A
AKT1,NR4A1
AKT1,PTK6
AKT1,TCL1A
AKT1,IKBKG
AKT1,CTNNB1
AKT1,DOCK1
AKT1,MYC
AKT1,MLST8
AKT1,AKT3
AKT1,VAV1
AKT1,CDC42
AKT1,ARHGDIA
AKT1,ACTB
AKT1,PIK3CB
AKT1,PHLPP2
PTGES3,PPP5C
PTGES3,AHSA1
PTGES3,CDC37
PTGES3,GAR1
PTGES3,NR3C1
PTGES3,AHR
PTGES3,PTGIS
PTGES3,CCT7
PTGES3,TEP1
PTGES3,NHP2
PTGES3,CCT6A
PTGES3,AIP
PTGES3,CCT5
PTGES3,NVL
PTGES3,CCT8
PTGES3,CBR1
PTGES3,CBR3
PTGES3,HPGDS
PTGES3,CCT3
PTGES3,TSC1
PTGES3,CCT2
PTGES3,HSPA4
PTGES3,PPID
PTGES3,TERT
PTGES3,TCP1
PTGES3,WRAP53
PTGES3,PSMG2
PTGES3,CCT6B
PTGES3,PSMG1
PTGES3,NOP10
PTGES3,HSP90AA1
PTGES3,PTGES
PTGES3,PTGES2
PTGES3,VCP
PTGES3,PTGS1
PTGES3,PTGS2
PTGES3,DKC1
PTGES3,HSP90AB1
PTGES3,PTGDS
PTGES3,DNAJC9
PTGES3,AR
PTGES3,CCT4
PTGES3,ESR1
PTGES3,HSF1
DNAJB1,ST13
DNAJB1,STUB1
DNAJB1,CDC37
DNAJB1,HSPA5
DNAJB1,HSPB8
DNAJB1,HSPH1
DNAJB1,NUDC
DNAJB1,HSPBP1
DNAJB1,HSPA4L
DNAJB1,HSPA2
DNAJB1,HSPA9
DNAJB1,HSF1
DNAJB1,HSPA1L
DNAJB1,HSPA6
DNAJB1,MAPKAPK5
DNAJB1,DNAJA2
DNAJB1,BAG1
DNAJB1,HTT
DNAJB1,HSP90AA1
