dose,time,canonical_smiles
10.0,6,CSc1cc2CCN(C(=O)Nc3cccnc3)c2cc1C(F)(F)F
10.0,6,CCc1c(ncc2[nH]c3cc(OC)c(OC)cc3c12)C(=O)OC
10.0,6,CC(C)Cc1ccc(cc1)[C@H](C)C(O)=O
10.0,6,CCC1(C)CC(=O)NC(=O)C1
10.0,6,Cc1ccc(cc1)S(=O)(=O)\C=C\C#N
10.0,6,CC(C)n1nnc2cc(ccc12)C(O)=O
10.0,6,C1CCN(CC1)C1(CCCCC1)c1cc2ccccc2s1
10.0,6,CN(C)CCCSc1ccccc1NC(=O)C=Cc2ccccc2
10.0,6,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
10.0,6,COc1cccc(CCc2ccccc2OCC[C@@H]2C[C@@H](O)CN2C)c1
10.0,6,FC(F)(F)c1sc(cc1-c1ccccc1)-c1nc(no1)-c1cccc(c1)C(F)(F)F
10.0,6,Clc1cccc(NN=C(C#N)C#N)c1
10.0,6,CN1CCN(CC1)C2=Nc3cc(F)ccc3Cc4ccccc24
10.0,6,Cc1cc(c(O)c(C)c1CC1=NCCN1)C(C)(C)C
10.0,6,COc1cccc2c1cc([N+](=O)[O-])c3c(cc4OCOc4c23)C(=O)O
10.0,6,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1
10.0,6,C[C@H](NC(=O)C(=C\c1ccc(O)c(O)c1)\C#N)c1ccccc1
10.0,6,Oc1ccc(C(=O)\C=C\c2ccc(O)c(O)c2)c(O)c1
10.0,6,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
10.0,6,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C)C(=O)COC(=O)C
10.0,6,CC(=O)OCCNC(=O)c1cccnc1
10.0,6,CCCn1c(C)c(C(=O)c2cccc3ccccc23)c4ccccc14
10.0,6,CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O
10.0,6,COc1cc(C)cc(OC)c1[C@@H]1C=C(C)CC[C@H]1C(C)=C
10.0,6,C[C@@]12[C@H](CC[C@]1(O)[C@@H]1CC[C@@H]3C[C@@H](O)CC[C@]3(C)[C@H]1C[C@H]2O)C1=CC(=O)OC1
10.0,6,CCN(c1ccccc1)c1cc(NC)[n+](C)c(C)n1
10.0,6,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@H]2CO[C@@H]1C2
10.0,6,N\C(Sc1ccccc1N)=C(C#N)/C(C#N)=C(\N)Sc1ccccc1N
10.0,6,CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1
10.0,6,CCc1cccc(CC)c1N=C1NCCN1
10.0,6,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@@H](C[C@]21C)c1ccoc1
10.0,6,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC
10.0,6,Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1
10.0,6,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
10.0,6,OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1
10.0,6,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(oc4cc(O)cc(O)c4c3=O)-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
10.0,6,CCN(CC)CCNC(=O)COc1ccc(OC)cc1
10.0,6,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1
10.0,6,Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1
10.0,6,CCCCCCCCCCCCCCCC(=O)NCCc1ccc(O)c(O)c1
10.0,6,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCNCC1
10.0,6,OC(=O)c1cc(ccc1O)N(Cc2ccccc2O)Cc3cc(O)ccc3O
10.0,6,COc1ccc(cc1)-c1oc2ccccc2c(=O)c1OC
10.0,6,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
10.0,6,CC1=NN=C(c2ccc(N)cc2)c2cc3OCOc3cc2C1
10.0,6,COc1ccc(cc1)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1
10.0,6,CNCCCC12CCC(c3ccccc13)c1ccccc21
10.0,6,COc1ccc(cc1)c2cc(=O)c3c(O)cc(O[C@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2
10.0,6,C(C1CCNCC1)c1c[nH]cn1
10.0,6,Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1
10.0,6,NC(=O)c1sc(cc1N)-c1ccsc1
10.0,6,CC(=CCCN1CCC(CC1)NC(=O)[C@@](O)(C2CCCC2)c3ccccc3)C
10.0,6,CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12
10.0,6,COc1ccc2[nH]c(cc2c1)C(=O)c1ccccc1
10.0,6,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O
10.0,6,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2C/C(=C\CCCC(=O)O)/C[C@H]12
10.0,6,COC(=O)c1cc2c(cn1)[nH]c3ccccc32
10.0,6,COc1ccc2[nH]cc(CCN)c2c1
10.0,6,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
10.0,6,NC(=N)NC(=N)Nc1ccccc1
10.0,6,COc1c(C)c2COC(=O)c2c(O)c1CC=C(C)CCC(=O)O
